admin_override_suspend_auto_approval,attached_job_description,avatar_url,bounty_categories,bounty_owner_address,bounty_type,can_remarket,can_submit_after_expiration_date,canceled_bounty_reason,canceled_on,created_on,current_bounty,description_length,duration_create_to_expire,experience_level,expires_date,expires_date_ymd,featuring_date,fulfillment_accepted_on,fulfillment_started_on,fulfillment_submitted_on,funder_last_messaged_on,funding_organisation,github_comments,github_issue_number,github_issue_state,github_org_name,github_repo_name,github_url,idx_status,is_featured,is_issue_closed,is_open,is_paid,is_reserved,is_success,keywords,modified_on,needs_review,network,now,number_of_activities,number_of_fulfillments,number_of_interests,org_name,paid,permission_type,pk,project_length,project_type,repo_type,reserved_for_user_handle,standard_bounties_id,status,title,token_address,token_name,token_value_in_usdt,token_value_time_peg,url,value_in_eth,value_in_token,value_in_usdt,value_in_usdt_now,value_true,web3_created,web3_created_ymd,web3_type
FALSE,,https://gitcoin.co/dynamic/avatar/diadata-org,[],0x3811f600e671b1bf1f2ddd1c4deeb71b63701927,Andere,TRUE,TRUE,,2018-08-17T13:18:25.807093Z,2019-03-10T09:14:33.778213Z,TRUE,824,7,Mittlere,2018-08-22T11:17:26Z,2018-08-22T00:00:00.000Z,null,null,null,null,null,,2,5,open,diadata-org,api-golang,https://github.com/diadata-org/api-golang/issues/5,cancelled,FALSE,FALSE,FALSE,0,null,0,Go,2021-01-19T23:31:38.255851Z,FALSE,mainnet,2021-01-20T16:13:30.474386Z,5,0,0,diadata-org,[],permissionless,10129,Tage,contest,public,,959,cancelled,Bitfinex API Scraping,0x0000000000000000000000000000000000000000,ETH,288.64,2018-08-15T11:17:26Z,https://gitcoin.co/issue/diadata-org/api-golang/5/959,0.28,2.8E+17,80.82,385.49,0.28,2018-08-15T11:17:26Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/ConsenSys,[],0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,Improvement,FALSE,TRUE,,null,2019-03-10T09:14:41.023185Z,TRUE,1005,365,Intermediate,2019-08-15T14:56:03Z,2019-08-15T00:00:00.000Z,null,2018-09-27T07:34:58.834562Z,2018-08-19T07:20:02.184601Z,2018-09-20T05:40:38.357016Z,null,,16,32,closed,ConsenSys,surya,https://github.com/ConsenSys/surya/issues/32,done,FALSE,TRUE,FALSE,1,null,1,JavaScript,2021-01-19T23:31:26.193151Z,TRUE,mainnet,2021-01-20T16:13:31.260331Z,11,1,1,ConsenSys,"[""anurag-git""]",approval,10131,Weeks,traditional,public,,961,done,Support Solidity's library syntax,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T14:56:03Z,https://gitcoin.co/issue/ConsenSys/surya/32/961,0.11,1.5E+20,150,150,150,2018-08-15T14:56:03Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/ethereum,[],0x00de4b13153673bcae2616b67bf822500d325fc3,,FALSE,TRUE,,null,2019-03-10T09:14:46.038773Z,TRUE,4314,365,,2019-08-15T16:28:39Z,2019-08-15T00:00:00.000Z,null,2018-10-04T07:35:48.474721Z,2018-08-17T08:36:31.369929Z,2018-10-01T07:47:28.212453Z,null,,20,1187,closed,ethereum,py-evm,https://github.com/ethereum/py-evm/issues/1187,done,FALSE,TRUE,FALSE,1,null,1,"Python, Makefile, Shell",2021-01-19T23:31:14.620040Z,TRUE,mainnet,2021-01-20T16:13:31.386783Z,24,2,1,ethereum,"[""evgeniuz""]",approval,10132,Unknown,traditional,public,,962,done,`ethstats` plugin for node status reporting,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T16:28:39Z,https://gitcoin.co/issue/ethereum/py-evm/1187/962,0.36,5E+20,500,500,500,2018-08-15T16:28:39Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,null,https://gitcoin.co/dynamic/avatar/ethereum,[],0x00de4b13153673bcae2616b67bf822500d325fc3,,FALSE,TRUE,,null,2019-03-10T09:14:54.198054Z,TRUE,282,365,,2019-08-15T17:25:42Z,2019-08-15T00:00:00.000Z,null,2018-08-16T23:23:12.239679Z,2018-08-15T17:35:21.492207Z,2018-08-16T06:44:56.333700Z,null,,8,117,closed,ethereum,eth-utils,https://github.com/ethereum/eth-utils/issues/117,done,FALSE,TRUE,FALSE,1,null,1,"Python, Makefile",2021-01-19T23:31:02.125083Z,FALSE,mainnet,2021-01-20T16:13:31.485186Z,6,1,1,ethereum,"[""srisankethu""]",permissionless,10134,Unknown,traditional,public,,964,done,Backfill changelog,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T17:25:42Z,https://gitcoin.co/issue/ethereum/eth-utils/117/964,0.03,3.5E+19,35,35,35,2018-08-15T17:25:42Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,https://marketprotocol.io/jobs/,https://gitcoin.co/dynamic/avatar/MARKETProtocol,[],0xc9e4c8a2f2d8d684fb9de60abfe3fb5ea7565366,Bug,FALSE,TRUE,,null,2019-03-10T09:15:00.989867Z,TRUE,2085,7,Intermediate,2018-08-22T18:21:29Z,2018-08-22T00:00:00.000Z,null,2018-08-17T14:17:04.899923Z,2018-08-16T15:03:43.249499Z,2018-08-17T00:22:27.269510Z,null,,0,295,null,MARKETProtocol,dApp,https://github.com/MARKETProtocol/dApp/issues/295,done,FALSE,FALSE,FALSE,1,null,1,"JavaScript, CSS, Makefile, Shell, HTML, Dockerfile",2021-01-19T23:30:50.715425Z,FALSE,mainnet,2021-01-20T16:13:31.637423Z,11,1,1,MARKETProtocol,"[""octavioamu""]",approval,10135,Hours,traditional,public,,965,done,[BUG] Calendar component navigation not changing month/year/time when clicked,0x0000000000000000000000000000000000000000,ETH,288.64,2018-08-15T18:21:29Z,https://gitcoin.co/issue/MARKETProtocol/dApp/295/965,0.4,4E+17,115.46,550.7,0.4,2018-08-15T18:21:29Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/ethsociety,[],0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,Documentation,FALSE,TRUE,,null,2019-03-10T09:15:21.347097Z,TRUE,527,90,Intermediate,2018-11-13T20:34:36Z,2018-11-13T00:00:00.000Z,null,2018-09-05T20:18:23.507205Z,2018-08-16T20:13:27.188528Z,2018-08-27T23:23:40.866651Z,null,,5,20,open,ethsociety,learn-plasma,https://github.com/ethsociety/learn-plasma/issues/20,done,FALSE,FALSE,FALSE,1,null,1,"JavaScript, CSS, HTML",2021-01-19T23:30:39.898474Z,TRUE,mainnet,2021-01-20T16:13:32.489749Z,13,1,1,ethsociety,"[""paulrberg""]",approval,10138,Days,traditional,public,,968,done,Add a page for Plasma paper annotations,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T20:34:36Z,https://gitcoin.co/issue/ethsociety/learn-plasma/20/968,0.11,1.5E+20,150,150,150,2018-08-15T20:34:36Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,null,https://gitcoin.co/dynamic/avatar/ethsociety,[],0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,Feature,FALSE,TRUE,,null,2019-03-10T09:15:27.077620Z,TRUE,139,180,Intermediate,2019-02-11T21:07:05Z,2019-02-11T00:00:00.000Z,null,2018-10-28T22:33:43.825454Z,2018-09-27T23:50:17.864096Z,2018-10-12T17:10:46.346111Z,null,,19,15,closed,ethsociety,learn-plasma,https://github.com/ethsociety/learn-plasma/issues/15,done,FALSE,TRUE,FALSE,1,null,1,"JavaScript, CSS, HTML",2021-01-19T23:30:28.573079Z,TRUE,mainnet,2021-01-20T16:13:32.682118Z,31,1,1,ethsociety,"[""somniastellarum""]",approval,10139,Hours,traditional,public,,969,done,Set up r/learnplasma,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T21:07:05Z,https://gitcoin.co/issue/ethsociety/learn-plasma/15/969,0.01,2E+19,20,20,20,2018-08-15T21:07:05Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/ethsociety,[],0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,Documentation,FALSE,TRUE,,null,2019-03-10T09:15:33.311834Z,TRUE,202,30,Beginner,2018-09-14T21:26:48Z,2018-09-14T00:00:00.000Z,null,2018-08-17T17:20:46.909451Z,2018-08-15T23:43:23.340385Z,2018-08-17T00:23:38.368669Z,null,,11,17,closed,ethsociety,learn-plasma,https://github.com/ethsociety/learn-plasma/issues/17,done,FALSE,TRUE,FALSE,1,null,1,"JavaScript, CSS, HTML",2021-01-19T23:30:16.597098Z,FALSE,mainnet,2021-01-20T16:13:32.813129Z,8,1,1,ethsociety,"[""tcrowe""]",approval,10140,Hours,traditional,public,,970,done,Add a feedback form,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T21:26:48Z,https://gitcoin.co/issue/ethsociety/learn-plasma/17/970,0.02,3E+19,30,30,30,2018-08-15T21:26:48Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/gitcoinco,[],0x00de4b13153673bcae2616b67bf822500d325fc3,,FALSE,TRUE,,null,2019-03-10T09:15:37.146050Z,TRUE,307,365,,2019-08-15T21:31:59Z,2019-08-15T00:00:00.000Z,null,2018-09-14T17:16:21.006144Z,2018-08-15T23:25:48.562640Z,2018-08-16T00:20:34.821863Z,null,,5,2011,closed,gitcoinco,web,https://github.com/gitcoinco/web/issues/2011,done,FALSE,TRUE,FALSE,1,null,1,"JavaScript, Python, HTML, CSS, Shell, Makefile, Dockerfile",2021-01-19T23:30:04.009084Z,FALSE,mainnet,2021-01-20T16:13:32.976646Z,6,1,1,gitcoinco,"[""pinkiebell""]",permissionless,10141,Unknown,traditional,public,,971,done,issue explorer keyword bug,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,DAI,1,2018-08-15T21:31:59Z,https://gitcoin.co/issue/gitcoinco/web/2011/971,0.03,4.5E+19,45,45,45,2018-08-15T21:31:59Z,2018-08-15T00:00:00.000Z,bounties_network
FALSE,,https://gitcoin.co/dynamic/avatar/diadata-org,[],0x3811f600e671b1bf1f2ddd1c4deeb71b63701927,,FALSE,TRUE,,null,2019-03-10T09:15:44.017170Z,TRUE,208,100,,2018-11-25T08:10:03Z,2018-11-25T00:00:00.000Z,null,2018-09-11T09:01:12.193858Z,2018-09-03T09:34:57.893887Z,2018-09-09T01:16:34.109339Z,null,,12,8,open,diadata-org,api-golang,https://github.com/diadata-org/api-golang/issues/8,done,FALSE,FALSE,FALSE,1,null,1,Go,2021-01-19T23:29:52.581097Z,FALSE,mainnet,2021-01-20T16:13:33.112592Z,11,1,2,diadata-org,"[""eristoddle""]",permissionless,10143,Unknown,contest,public,,973,done,Bitcoin Cash Supply data provider,0x0000000000000000000000000000000000000000,ETH,301.62,2018-08-17T08:10:03Z,https://gitcoin.co/issue/diadata-org/api-golang/8/973,0.3,3E+17,90.49,413.03,0.3,2018-08-17T08:10:03Z,2018-08-17T00:00:00.000Z,bounties_network
